PassengerId,Survived,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked_C,Embarked_S,Embarked_Q,Pclass_1,Pclass_2,Pclass_3,with_p
1,0,0,22,1,0,7.25,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1
2,1,1,38,1,0,71.2833,C,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1
3,1,1,26,0,0,7.925,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
4,1,1,35,1,0,53.1,C,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1
5,0,0,35,0,0,8.05,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
6,0,0,25.14061972,0,0,8.4583,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0
7,0,0,54,0,0,51.8625,E,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0
8,0,0,2,3,1,21.075,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,4
9,1,1,27,0,2,11.1333,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2
10,1,1,14,1,0,30.0708,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1
11,1,1,4,1,1,16.7,G,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2
12,1,1,58,0,0,26.55,C,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0
13,0,0,20,0,0,8.05,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
14,0,0,39,1,5,31.275,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6
15,0,1,14,0,0,7.8542,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
16,1,1,55,0,0,16,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0
17,0,0,2,4,1,29.125,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,5
18,1,0,29.87763006,0,0,13,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0
19,0,1,31,1,0,18,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1
20,1,1,25.14061972,0,0,7.225,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0
21,0,0,35,0,0,26,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0
22,1,0,34,0,0,13,D,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0
23,1,1,15,0,0,8.0292,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0
24,1,0,28,0,0,35.5,A,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0
25,0,1,8,3,1,21.075,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,4
26,1,1,38,1,5,31.3875,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6
27,0,0,25.14061972,0,0,7.225,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0
28,0,0,19,3,2,263,C,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,5
29,1,1,25.14061972,0,0,7.8792,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0
30,0,0,25.14061972,0,0,7.8958,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
31,0,0,40,0,0,27.7208,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0
32,1,1,38.23344086,1,0,146.5208,B,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1
33,1,1,25.14061972,0,0,7.75,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0
34,0,0,66,0,0,10.5,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0
35,0,0,28,1,0,82.1708,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1
36,0,0,42,1,0,52,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1
37,1,0,25.14061972,0,0,7.2292,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0
38,0,0,21,0,0,8.05,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
39,0,1,18,2,0,18,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2
40,1,1,14,1,0,11.2417,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1
41,0,1,40,1,0,9.475,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1
42,0,1,27,1,0,21,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1
43,0,0,25.14061972,0,0,7.8958,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0
44,1,1,3,1,2,41.5792,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,3
45,1,1,19,0,0,7.8792,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0
46,0,0,25.14061972,0,0,8.05,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
47,0,0,25.14061972,1,0,15.5,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1
48,1,1,25.14061972,0,0,7.75,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0
49,0,0,25.14061972,2,0,21.6792,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2
50,0,1,18,1,0,17.8,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1
51,0,0,7,4,1,39.6875,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,5
52,0,0,21,0,0,7.8,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
53,1,1,49,1,0,76.7292,D,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1
54,1,1,29,1,0,26,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1
55,0,0,65,0,1,61.9792,B,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1
56,1,0,38.23344086,0,0,35.5,C,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0
57,1,1,21,0,0,10.5,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0
58,0,0,28.5,0,0,7.2292,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0
59,1,1,5,1,2,27.75,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,3
60,0,0,11,5,2,46.9,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,7
61,0,0,22,0,0,7.2292,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0
62,1,1,38,0,0,80,B,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0
63,0,0,45,1,0,83.475,C,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1
64,0,0,4,3,2,27.9,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,5
65,0,0,38.23344086,0,0,27.7208,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0
66,1,0,25.14061972,1,1,15.2458,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2
67,1,1,29,0,0,10.5,F,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0
68,0,0,19,0,0,8.1583,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
69,1,1,17,4,2,7.925,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6
70,0,0,26,2,0,8.6625,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2
71,0,0,32,0,0,10.5,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0
72,0,1,16,5,2,46.9,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,7
73,0,0,21,0,0,73.5,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0
74,0,0,26,1,0,14.4542,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1
75,1,0,32,0,0,56.4958,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
76,0,0,25,0,0,7.65,F,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
77,0,0,25.14061972,0,0,7.8958,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
78,0,0,25.14061972,0,0,8.05,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
79,1,0,0.83,0,2,29,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2
80,1,1,30,0,0,12.475,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
81,0,0,22,0,0,9,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
82,1,0,29,0,0,9.5,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
83,1,1,25.14061972,0,0,7.7875,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0
84,0,0,28,0,0,47.1,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0
85,1,1,17,0,0,10.5,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0
86,1,1,33,3,0,15.85,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3
87,0,0,16,1,3,34.375,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,4
88,0,0,25.14061972,0,0,8.05,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
89,1,1,23,3,2,263,C,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,5
90,0,0,24,0,0,8.05,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
91,0,0,29,0,0,8.05,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
92,0,0,20,0,0,7.8542,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
93,0,0,46,1,0,61.175,E,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1
94,0,0,26,1,2,20.575,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3
95,0,0,59,0,0,7.25,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
96,0,0,25.14061972,0,0,8.05,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
97,0,0,71,0,0,34.6542,A,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0
98,1,0,23,0,1,63.3583,D,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1
99,1,1,34,0,1,23,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1
100,0,0,34,1,0,26,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1
101,0,1,28,0,0,7.8958,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
102,0,0,25.14061972,0,0,7.8958,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
103,0,0,21,0,1,77.2875,D,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1
104,0,0,33,0,0,8.6542,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
105,0,0,37,2,0,7.925,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2
106,0,0,28,0,0,7.8958,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
107,1,1,21,0,0,7.65,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
108,1,0,25.14061972,0,0,7.775,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
109,0,0,38,0,0,7.8958,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
110,1,1,25.14061972,1,0,24.15,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1
111,0,0,47,0,0,52,C,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0
112,0,1,14.5,1,0,14.4542,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1
113,0,0,22,0,0,8.05,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
114,0,1,20,1,0,9.825,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1
115,0,1,17,0,0,14.4583,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0
116,0,0,21,0,0,7.925,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
117,0,0,70.5,0,0,7.75,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0
118,0,0,29,1,0,21,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1
119,0,0,24,0,1,247.5208,B,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1
120,0,1,2,4,2,31.275,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6
121,0,0,21,2,0,73.5,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2
122,0,0,25.14061972,0,0,8.05,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
123,0,0,32.5,1,0,30.0708,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1
124,1,1,32.5,0,0,13,E,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0
125,0,0,54,0,1,77.2875,D,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1
126,1,0,12,1,0,11.2417,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1
127,0,0,25.14061972,0,0,7.75,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0
128,1,0,24,0,0,7.1417,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
129,1,1,25.14061972,1,1,22.3583,F,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2
130,0,0,45,0,0,6.975,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
131,0,0,33,0,0,7.8958,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0
132,0,0,20,0,0,7.05,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
133,0,1,47,1,0,14.5,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1
134,1,1,29,1,0,26,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1
135,0,0,25,0,0,13,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0
136,0,0,23,0,0,15.0458,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0
137,1,1,19,0,2,26.2833,D,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,2
138,0,0,37,1,0,53.1,C,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1
139,0,0,16,0,0,9.2167,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
140,0,0,24,0,0,79.2,B,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0
141,0,1,25.14061972,0,2,15.2458,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2
142,1,1,22,0,0,7.75,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
143,1,1,24,1,0,15.85,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1
144,0,0,19,0,0,6.75,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0
145,0,0,18,0,0,11.5,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0
146,0,0,19,1,1,36.75,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2
147,1,0,27,0,0,7.7958,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
148,0,1,9,2,2,34.375,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,4
149,0,0,36.5,0,2,26,F,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2
150,0,0,42,0,0,13,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0
151,0,0,51,0,0,12.525,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0
152,1,1,22,1,0,66.6,C,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1
153,0,0,55.5,0,0,8.05,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
154,0,0,40.5,0,2,14.5,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2
155,0,0,25.14061972,0,0,7.3125,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
156,0,0,51,0,1,61.3792,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1
157,1,1,16,0,0,7.7333,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0
158,0,0,30,0,0,8.05,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
159,0,0,25.14061972,0,0,8.6625,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
160,0,0,25.14061972,8,2,69.55,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,10
161,0,0,44,0,1,16.1,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1
162,1,1,40,0,0,15.75,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0
163,0,0,26,0,0,7.775,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
164,0,0,17,0,0,8.6625,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
165,0,0,1,4,1,39.6875,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,5
166,1,0,9,0,2,20.525,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2
167,1,1,38.23344086,0,1,55,E,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1
168,0,1,45,1,4,27.9,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,5
169,0,0,38.23344086,0,0,25.925,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0
170,0,0,28,0,0,56.4958,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
171,0,0,61,0,0,33.5,B,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0
172,0,0,4,4,1,29.125,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,5
173,1,1,1,1,1,11.1333,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2
174,0,0,21,0,0,7.925,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
175,0,0,56,0,0,30.6958,A,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0
176,0,0,18,1,1,7.8542,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2
177,0,0,25.14061972,3,1,25.4667,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,4
178,0,1,50,0,0,28.7125,C,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0
179,0,0,30,0,0,13,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0
180,0,0,36,0,0,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
181,0,1,25.14061972,8,2,69.55,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,10
182,0,0,29.87763006,0,0,15.05,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0
183,0,0,9,4,2,31.3875,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6
184,1,0,1,2,1,39,F,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,3
185,1,1,4,0,2,22.025,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2
186,0,0,38.23344086,0,0,50,A,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0
187,1,1,25.14061972,1,0,15.5,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1
188,1,0,45,0,0,26.55,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0
189,0,0,40,1,1,15.5,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2
190,0,0,36,0,0,7.8958,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
191,1,1,32,0,0,13,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0
192,0,0,19,0,0,13,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0
193,1,1,19,1,0,7.8542,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1
194,1,0,3,1,1,26,F,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2
195,1,1,44,0,0,27.7208,B,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0
196,1,1,58,0,0,146.5208,B,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0
197,0,0,25.14061972,0,0,7.75,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0
198,0,0,42,0,1,8.4042,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1
199,1,1,25.14061972,0,0,7.75,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0
200,0,1,24,0,0,13,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0
201,0,0,28,0,0,9.5,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
202,0,0,25.14061972,8,2,69.55,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,10
203,0,0,34,0,0,6.4958,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
204,0,0,45.5,0,0,7.225,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0
205,1,0,18,0,0,8.05,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
206,0,1,2,0,1,10.4625,G,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1
207,0,0,32,1,0,15.85,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1
208,1,0,26,0,0,18.7875,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0
209,1,1,16,0,0,7.75,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0
210,1,0,40,0,0,31,A,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0
211,0,0,24,0,0,7.05,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
212,1,1,35,0,0,21,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0
213,0,0,22,0,0,7.25,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
214,0,0,30,0,0,13,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0
215,0,0,25.14061972,1,0,7.75,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1
216,1,1,31,1,0,113.275,D,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1
217,1,1,27,0,0,7.925,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
218,0,0,42,1,0,27,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1
219,1,1,32,0,0,76.2917,D,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0
220,0,0,30,0,0,10.5,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0
221,1,0,16,0,0,8.05,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
222,0,0,27,0,0,13,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0
